iteration,fidelity,n_samples,water_shielding_mm,veto_thickness_mm,y_cnp,y_cnp_err,y_raw,log_prop,bce
0.00000,0.00000,1000.00000,106.20000,20.00000,0.18295,0.02192,0.02100,0.64051,0.26142
0.00000,0.00000,1000.00000,96.20000,30.00000,0.19512,0.02192,0.02100,0.64797,0.28274
0.00000,0.00000,1000.00000,76.20000,50.00000,0.22798,0.02192,0.02900,0.67036,0.34023
0.00000,0.00000,1000.00000,46.20000,80.00000,0.27029,0.02192,0.03900,0.69060,0.38729
0.00000,0.00000,1000.00000,36.20000,90.00000,0.25786,0.02192,0.04300,0.68665,0.37500
0.00000,0.00000,1000.00000,66.20000,60.00000,0.25315,0.02192,0.03100,0.68375,0.36909
0.00000,0.00000,1000.00000,26.20000,100.00000,0.26707,0.02192,0.04200,0.68716,0.38490
0.00000,0.00000,1000.00000,86.20000,40.00000,0.19123,0.02192,0.02700,0.63456,0.25284
0.00000,0.00000,1000.00000,56.20000,70.00000,0.24885,0.02192,0.03300,0.67812,0.35724
0.00000,0.00000,1000.00000,106.20000,20.00000,0.18679,0.02192,0.02200,0.64221,0.26769
0.00000,0.00000,1000.00000,96.20000,30.00000,0.17981,0.02192,0.02900,0.63368,0.24569
0.00000,0.00000,1000.00000,76.20000,50.00000,0.22561,0.02192,0.03000,0.67296,0.34766
0.00000,0.00000,1000.00000,46.20000,80.00000,0.24803,0.02192,0.03400,0.67806,0.35629
0.00000,0.00000,1000.00000,36.20000,90.00000,0.27455,0.02192,0.03000,0.70238,0.41305
0.00000,0.00000,1000.00000,66.20000,60.00000,0.23517,0.02192,0.02700,0.67208,0.34259
0.00000,0.00000,1000.00000,26.20000,100.00000,0.28029,0.02192,0.04400,0.70030,0.41065
0.00000,0.00000,1000.00000,86.20000,40.00000,0.20116,0.02192,0.03300,0.63809,0.26045
0.00000,0.00000,1000.00000,56.20000,70.00000,0.25647,0.02192,0.03700,0.68233,0.37211
0.00000,0.00000,1000.00000,106.20000,20.00000,0.16116,0.02192,0.02100,0.61752,0.20771
0.00000,0.00000,1000.00000,96.20000,30.00000,0.17908,0.02192,0.02800,0.63092,0.24188
0.00000,0.00000,1000.00000,76.20000,50.00000,0.21324,0.02192,0.02500,0.66565,0.32567
0.00000,0.00000,1000.00000,46.20000,80.00000,0.27029,0.02192,0.03900,0.69060,0.38730
0.00000,0.00000,1000.00000,36.20000,90.00000,0.27372,0.02192,0.04000,0.70251,0.41415
0.00000,0.00000,1000.00000,66.20000,60.00000,0.25318,0.02192,0.03100,0.68376,0.36912
0.00000,0.00000,1000.00000,26.20000,100.00000,0.29466,0.02192,0.04600,0.70973,0.43627
0.00000,0.00000,1000.00000,86.20000,40.00000,0.19123,0.02192,0.02700,0.63456,0.25284
0.00000,0.00000,1000.00000,56.20000,70.00000,0.25838,0.02192,0.02800,0.69052,0.38557
0.00000,0.00000,1000.00000,106.20000,20.00000,0.17337,0.02192,0.03000,0.62091,0.21681
0.00000,0.00000,1000.00000,96.20000,30.00000,0.18842,0.02192,0.02300,0.64123,0.26271
0.00000,0.00000,1000.00000,76.20000,50.00000,0.22628,0.02192,0.03600,0.66709,0.32954
0.00000,0.00000,1000.00000,46.20000,80.00000,0.26060,0.02192,0.02800,0.69166,0.38943
0.00000,0.00000,1000.00000,36.20000,90.00000,0.26480,0.02192,0.04200,0.68474,0.37600
0.00000,0.00000,1000.00000,66.20000,60.00000,0.23789,0.02192,0.02800,0.68168,0.36512
